tstamp2,KW,CHWTON,HTmmBTU,Temperature,Wind Speed,Wind Direction,Surface Albedo,Pressure,Precipitable Water,Solar Zenith Angle,Relative Humidity,Dew Point,Cloud Type
2023-01-01T00:00:00.000,11139.1,3097.37,7.97,15.600000000000001,0.9,98,0.17,966,1.8,85.19,62.5,8.5,6
2023-01-01T01:00:00.000,10981.6,3075.17,7.6,14.600000000000001,1,93,0.17,966,1.7000000000000002,96.44,64.29,7.9,6
2023-01-01T02:00:00.000,10916.1,3011.79,7.82,14,1.1,94,0.17,966,1.7000000000000002,108.22,65.52,7.6000000000000005,6
2023-01-01T03:00:00.000,10873.6,2956.7,7.87,13.3,1.2000000000000002,99,0.17,966,1.7000000000000002,120.43,67.63,7.4,6
2023-01-01T04:00:00.000,10249.58,2861.86,8,12.8,1.3,108,0.17,965,1.7000000000000002,132.88,69.3,7.300000000000001,6
2023-01-01T05:00:00.000,11086.98,3019.06,8.29,12.4,1.3,118,0.17,965,1.7000000000000002,145.37,70.88,7.300000000000001,6
2023-01-01T06:00:00.000,11869.65,3268.84,8.3,12.200000000000001,1.4000000000000001,126,0.17,964,1.8,157.48,71.59,7.2,6
2023-01-01T07:00:00.000,11935.8,3385.83,8.34,12.200000000000001,1.5,133,0.17,964,1.8,167.56,71.78,7.300000000000001,6
2023-01-01T08:00:00.000,11991.35,3400.39,8.49,12.100000000000001,1.8,135,0.17,964,2,167.81,72.25,7.300000000000001,6
2023-01-01T09:00:00.000,11961.98,3431.7,8.18,12.200000000000001,1.9000000000000001,130,0.17,963,2.2,157.89000000000001,71.59,7.2,6
2023-01-01T10:00:00.000,11965.78,3472.9,8.09,12.3,2,125,0.17,962,2.3000000000000003,145.8,70.93,7.2,6
2023-01-01T11:00:00.000,12017.45,3534.35,8.33,12.600000000000001,2.1,126,0.17,961,2.4000000000000004,133.31,69.5,7.2,6
2023-01-01T12:00:00.000,12074.73,3566.34,7.78,12.700000000000001,2.1,135,0.17,961,2.4000000000000004,120.85000000000001,69.5,7.300000000000001,6
2023-01-01T13:00:00.000,12050.2,3620.82,7.78,13.100000000000001,2.9000000000000004,156,0.17,961,2.5,108.62,71.05,8,6
2023-01-01T14:00:00.000,12165.5,3631.58,7.81,13.3,4.2,173,0.17,961,2.6,96.82000000000001,76.69,9.3,6
2023-01-01T15:00:00.000,12007.03,3327.27,8.14,13,4.9,169,0.17,961,2.7,85.52,84.12,10.4,6
2023-01-01T16:00:00.000,11911.15,3066.81,8.66,13,5.6000000000000005,169,0.17,961,2.7,75.5,88.38,11.100000000000001,6
2023-01-01T17:00:00.000,11479.15,2815.7,9.53,13.8,6.300000000000001,175,0.17,961,2.6,66.89,87.36,11.700000000000001,6
2023-01-01T18:00:00.000,11111.75,2645.38,9.74,14.9,7,188,0.17,960,2.6,60.42,83.42,12.100000000000001,6
2023-01-01T19:00:00.000,11217.72,2606.98,9.6,15.4,7,199,0.17,959,2.5,56.86,82.3,12.4,3
2023-01-01T20:00:00.000,11505.05,2572.62,9.54,15.700000000000001,6.2,201,0.17,958,2.2,56.78,81.58,12.600000000000001,3
2023-01-01T21:00:00.000,11204.55,2598.48,9.51,15.700000000000001,6.300000000000001,215,0.17,958,1.9000000000000001,60.19,76.64,11.600000000000001,3
2023-01-01T22:00:00.000,10698.63,2415.41,9.49,14.9,6.1000000000000005,226,0.17,958,1.7000000000000002,66.54,70.56,9.600000000000001,3
2023-01-01T23:00:00.000,10432.45,2318.18,9.3,13.700000000000001,4.4,225,0.17,959,1.5,75.08,68.58,8,3
2023-01-02T00:00:00.000,10727.65,2314.98,8.77,11.9,2.6,218,0.17,959,1.4000000000000001,85.05,74.91,7.6000000000000005,3
2023-01-02T01:00:00.000,10685.65,2278.1,8.82,10.8,2.2,209,0.17,960,1.5,96.31,79.24,7.300000000000001,3
2023-01-02T02:00:00.000,10674.65,2278.49,9.11,10.3,2.4000000000000004,201,0.17,961,1.5,108.08,80.91,7.2,3
2023-01-02T03:00:00.000,10743.4,2237.34,9.42,9.9,2.8000000000000003,199,0.17,961,1.5,120.29,82.84,7.1000000000000005,3
2023-01-02T04:00:00.000,10981.47,2283.11,10.08,9.5,2.9000000000000004,204,0.17,962,1.5,132.75,85.05,7.1000000000000005,3
2023-01-02T05:00:00.000,11511.68,2351.81,10.61,8.9,2.4000000000000004,211,0.17,962,1.4000000000000001,145.23,87.27,6.9,3
2023-01-02T06:00:00.000,12486.53,2531.17,10.74,7.800000000000001,1.8,215,0.17,962,1.4000000000000001,157.35,90.17,6.300000000000001,3
2023-01-02T07:00:00.000,12455.58,2629.72,11.19,7,1.6,214,0.17,963,1.4000000000000001,167.43,91.82000000000001,5.800000000000001,3
2023-01-02T08:00:00.000,11871.63,2592.75,10.92,6.5,1.5,208,0.17,963,1.4000000000000001,167.79,91.48,5.2,3
2023-01-02T09:00:00.000,11856.65,2547.19,9.69,6.4,1.5,199,0.17,963,1.5,157.93,90.69,5,3
2023-01-02T10:00:00.000,11977.38,2637.26,9.2,6.6000000000000005,1.6,189,0.17,963,1.5,145.85,90.75,5.2,3
2023-01-02T11:00:00.000,12187.33,2889.02,8.49,7,2,182,0.17,963,1.6,133.37,90.38,5.5,3
2023-01-02T12:00:00.000,12346.55,3061.54,8.37,7.2,2.1,179,0.17,963,1.6,120.91,90.69,5.800000000000001,3
2023-01-02T13:00:00.000,12381.23,3036.25,8.43,7.300000000000001,2,181,0.17,964,1.6,108.68,91.36,6,3
2023-01-02T14:00:00.000,12194,3059.93,8.38,7.5,1.9000000000000001,193,0.17,965,1.6,96.87,91.36,6.2,3
2023-01-02T15:00:00.000,12171.65,3022.53,8.87,8.200000000000001,2.6,210,0.17,965,1.5,85.54,88.89,6.5,3
2023-01-02T16:00:00.000,12062.82,2977.45,9.42,9.3,3,219,0.17,966,1.5,75.51,84.84,6.9,3
2023-01-02T17:00:00.000,12044.32,2949.67,9.29,10.9,3.3000000000000003,229,0.17,967,1.4000000000000001,66.87,77.38,7.1000000000000005,3
2023-01-02T18:00:00.000,12037.85,2794.05,9.76,12.200000000000001,3.9000000000000004,239,0.17,967,1.4000000000000001,60.38,68.18,6.5,3
2023-01-02T19:00:00.000,11526.33,2715.78,10.09,12.600000000000001,4.2,246,0.17,966,1.4000000000000001,56.79,61.83,5.5,6
2023-01-02T20:00:00.000,10984.8,2604.21,9.64,12.8,4,252,0.17,966,1.4000000000000001,56.68,57.39,4.6000000000000005,6
2023-01-02T21:00:00.000,11017.48,2501.72,9.4,12.8,3.6,252,0.17,966,1.3,60.07,55.120000000000005,4,3
2023-01-02T22:00:00.000,11169.75,2547.08,9.02,12.700000000000001,3.1,250,0.17,966,1.3,66.41,54.31,3.7,3
2023-01-02T23:00:00.000,10870.17,2389.65,9.03,11.8,1.5,246,0.17,966,1.3,74.94,63.230000000000004,5,6
2023-01-03T00:00:00.000,10967.85,2390.72,8.61,9.9,0.9,229,0.17,967,1.3,84.91,71.4,5,6
2023-01-03T01:00:00.000,11128.5,2403.59,8.64,9.5,0.9,203,0.17,967,1.2000000000000002,96.17,67.99,3.9000000000000004,3
2023-01-03T02:00:00.000,11126.45,2358.72,8.64,9,1,196,0.17,968,1.3,107.95,68.31,3.5,6
2023-01-03T03:00:00.000,10967.9,2418.02,9.14,8.6,1,183,0.17,968,1.3,120.16,70.04,3.4000000000000004,6
2023-01-03T04:00:00.000,11140.63,2391.97,9.5,8,1.1,175,0.17,968,1.3,132.61,72.07000000000001,3.3000000000000003,6
2023-01-03T05:00:00.000,11793.37,2436,10.45,7.5,1,168,0.17,968,1.3,145.09,76.73,3.7,6
2023-01-03T06:00:00.000,12299.55,2553.86,10.72,7.2,1.1,172,0.17,968,1.4000000000000001,157.21,78.14,3.6,6
2023-01-03T07:00:00.000,12827.13,2815.57,11.06,6.9,1.1,182,0.17,968,1.4000000000000001,167.3,80.39,3.8000000000000003,6
2023-01-03T08:00:00.000,12617.88,2783.46,10.71,6.5,1.1,191,0.17,968,1.5,167.76,81.63,3.6,6
2023-01-03T09:00:00.000,12817.5,2783.68,9.77,6.1000000000000005,1.1,194,0.17,969,1.5,157.97,82.32000000000001,3.3000000000000003,6
2023-01-03T10:00:00.000,12357.05,2895.43,9.29,6.1000000000000005,1.1,189,0.17,969,1.4000000000000001,145.91,82.28,3.3000000000000003,3
2023-01-03T11:00:00.000,12327.95,3105.8,8.52,5.9,1.1,187,0.17,968,1.4000000000000001,133.43,83.59,3.3000000000000003,3
2023-01-03T12:00:00.000,12505.02,3459.6,8.62,5.9,1,187,0.17,968,1.4000000000000001,120.96000000000001,83.93,3.4000000000000004,3
2023-01-03T13:00:00.000,12518.73,3550.63,8.7,5.9,0.9,180,0.17,969,1.5,108.72,85.10000000000001,3.6,3
2023-01-03T14:00:00.000,12533.5,3807.41,8.1,5.9,0.8,175,0.17,970,1.5,96.9,87.43,4,3
2023-01-03T15:00:00.000,12375.73,3746.74,8.2,7.5,1,174,0.17,971,1.6,85.57000000000001,85.93,5.300000000000001,3
2023-01-03T16:00:00.000,12199.25,3806.7,8.27,9.3,1.7000000000000002,177,0.17,971,1.5,75.51,78.15,5.7,3
2023-01-03T17:00:00.000,12761.85,3715.79,8.8,11.4,1.9000000000000001,214,0.17,972,1.4000000000000001,66.85,67.85,5.7,3
2023-01-03T18:00:00.000,12421.08,3609.53,8.89,12.8,2.3000000000000003,233,0.17,972,1.4000000000000001,60.33,57.92,4.7,3
2023-01-03T19:00:00.000,12115.58,3385.57,9.64,13.8,2.5,246,0.17,971,1.3,56.71,51.85,4.1000000000000005,3
